id,categoria,numero,enunciado
71,teoria,84,¿Por que nunca se deben guardar contrasenas en texto plano?
72,teoria,85,¿Que es CORS y por que ocurre ese error?
73,teoria,86,¿Que es una Promesa en JavaScript?
74,teoria,87,¿Que es async / await?
75,teoria,88,¿Que diferencia hay entre let, const y var?
76,teoria,90,¿Que es una Arrow Function?
77,teoria,91,¿Que hace el operador Destructuring (const {prop} = obj)?
78,teoria,92,¿Que hace el Spread Operator (...)?
79,teoria,93,¿Que diferencia hay entre == y ===?
80,teoria,94,¿Que es un Callback?
81,teoria,95,¿Que hace el metodo map() en un Array?
82,teoria,96,¿Que hace el metodo filter() en un Array?
83,teoria,98,¿Que es un bloque try...catch?
84,teoria,99,¿Que significa que JavaScript sea Single-Threaded?
85,teoria,100,¿Que es JSON?
86,teoria,101,¿Que es una Clave Primaria (Primary Key)?
87,teoria,102,¿Que es una Clave Foranea (Foreign Key)?
88,teoria,103,¿Que es un ORM?
89,teoria,105,¿Que es una migracion en una base de datos?
90,teoria,106,¿Que hace una consulta SELECT en SQL?
91,teoria,107,¿Que hace un INSERT en SQL?
92,teoria,108,¿Que hace un UPDATE en SQL?
93,teoria,109,¿Que hace un DELETE en SQL?
94,teoria,114,¿Para que sirve JOIN en SQL?
95,teoria,115,¿Que es una relacion 1 a N (uno a muchos)?
96,teoria,116,¿Que es NPM?
97,teoria,117,¿Que es el archivo package.json?
98,teoria,118,¿Que es la carpeta node_modules?
99,teoria,125,¿Que diferencia hay entre Frontend y Backend?
100,teoria,126,¿Que es un cliente y un servidor?
101,teoria,127,¿Que es localhost?
102,teoria,128,¿Que es el archivo .gitignore?
103,teoria,129,¿Que hace el metodo HTTP GET?
104,teoria,130,¿Que hace el metodo HTTP POST?
105,teoria,131,¿Que hace el metodo HTTP PUT?
106,teoria,132,¿Que hace el metodo HTTP DELETE?
107,teoria,133,¿Que es useRef en React y para que sirve?
108,teoria,134,¿Que es useContext en React?
109,teoria,135,¿Que es un evento onClick en React?
110,teoria,136,¿Que hace el hook useMemo en React?
111,teoria,137,¿Que hace el hook useCallback en React?
112,teoria,138,¿Para que sirve la propiedad key al renderizar listas en React?
113,teoria,139,¿Que es una SPA (Single Page Application)?
114,teoria,140,¿Que es el operador ternario en JavaScript?
115,teoria,141,¿Que hace el metodo find() en un Array de JavaScript?
116,teoria,142,¿Que hace el metodo includes() en JavaScript?
117,teoria,143,¿Que hace el metodo push() en un Array?
118,teoria,144,¿Que es template string y como se usa en JavaScript?
119,teoria,145,¿Que hace el comando git pull?
120,teoria,146,¿Que hace el comando git clone?
121,teoria,147,¿Que hace el comando git checkout o switch?
122,teoria,148,¿Que es un puerto en un servidor como el 3000 o 8080?
123,teoria,149,¿Que es el protocolo HTTP?
124,teoria,150,¿Que significa la sigla URL?
125,teoria,151,¿Que es una base de datos NoSQL?
126,teoria,152,¿Que hace la clausula WHERE en SQL?
127,teoria,153,¿Que es MongoDB?
128,teoria,154,¿Que es Mongoose en Node.js?
129,teoria,155,¿Que es la variable process.env en Node.js?
130,teoria,156,¿Que es Nodemon y para que se usa en desarrollo?
